"","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"463","-5.459",408,412,18600,363.88,51.12,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet"
"464","-5.461",434,413,18600,366.18,50.79,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet"
"465","-5.463",375,493,17171.2,313.6,54.76,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz SP6872UK, GigE"
"466","-5.464",403,465,17867.4,340.26,52.51,"Cluster Platform 3000 BL680c, Xeon 73xx 2.4 Ghz, GigabitEth"
"467","-5.468",406,468,17786.2,342.6,51.92,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet"
"468","-5.468",406,469,17786.2,342.6,51.92,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet"
"469","-5.471",463,313,20954,479.1,43.74,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, Infiniband DDR"
"470","-5.474",455,418,18600,381.78,48.72,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet"
"471","-5.477",457,414,18600,385.8,48.21,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet"
"472","-5.477",457,415,18600,385.8,48.21,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet"
"473","-5.477",457,416,18600,385.8,48.21,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet"
"474","-5.481",405,500,17088.8,329.16,51.92,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet"
"475","-5.483",450,481,17492.8,347.7,50.31,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, GigE"
"476","-5.483",420,491,17267.4,338.69,50.98,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet"
"477","-5.485",460,419,18600,395.61,47.02,"xSeries x3650 Cluster Xeon dual core 2.66 GHz, GigEthernet"
"478","-5.488",490,193,27380,864,31.69,"Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband"
"479","-5.489",480,281,21821.5,551.94,39.54,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE"
"480","-5.497",476,315,20791.7,514.3,40.43,"Cluster Platform 3000 BL460c, Xeon 53xx 1.86GHz, GigEthernet"
"481","-5.501",481,300,21400,551.94,38.77,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE"
"482","-5.508",464,400,18600,426.3,43.63,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet"
"483","-5.508",464,401,18600,426.3,43.63,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet"
"484","-5.509",466,435,18534.8,424.93,43.62,"Cluster Platform 3000 BL460c G1, Xeon L5405 2 GHz, GigE"
"485","-5.511",477,333,20070,501.5,40.02,"eServer pSeries p5 575 1.9 GHz"
"486","-5.511",477,334,20070,501.5,40.02,"eServer pSeries p5 575 1.9 GHz"
"487","-5.517",473,386,18925.9,454.5,41.64,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, Infiniband DDR"
"488","-5.528",487,250,23298.8,713.93,32.63,"Cluster Platform 3000 BL460c, Xeon 52xx 3 GHz, GigEthernet"
"489","-5.536",479,399,18600,467,39.83,"xSeries x3550 Cluster Xeon, 3 GHz, GigEthernet"
"490","-5.565",485,323,20605.4,630.4,32.69,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, GigEthernet"
"491","-5.565",485,324,20605.4,630.4,32.69,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, GigEthernet"
"492","-5.567",492,296,21500,690.6,31.13,"PowerEdge SC1435 Dual core Opteron 2.8 GHz, Infiniband"
"493","-5.587",484,361,19179.1,586.27,32.71,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, GigEthernet"
"494","-5.595",483,392,18669.1,570.51,32.72,"Cluster Platform 3000 BL460c, Xeon 52xx 3 GHz, GigEthernet"
"495","-5.613",491,455,18240,576,31.67,"Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband"
"496","-5.646",494,467,17820.3,613.06,29.07,"Cluster Platform 3000 BL460c, Xeon 52xx 2.6 GHz, GigEthernet"
"497","-5.650",493,498,17110,572.28,29.9,"Opteron, Xeon Cluster, Myrinet"
"498","-5.727",498,349,19603.6,964.51,20.32,"Cluster Platform 4000 BL465c, Opteron DC 2.6GHz, Infiniband"
"499","-5.842",500,311,21029.5,1613.82,13.03,"Cluster Platform 4000 BL465c, Opteron DC 2.4GHz, GigEthernet"
"500","-5.857",499,441,18431.3,1301.78,14.16,"Cluster Platform 4000 BL465c, Opteron DC 2.6GHz, GigEthernet"
